objectid,parentid,title,identifier,subject,dimensions,display_template,format,object_location,image_small,image_thumb,image_alt_text,description,notes,other_objects
object_0001,,Dan head,1,Dan head,h: 3 ¼ x 2 ¼,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",,"Dan head. Dan 旦. Demon. Green painted face, crescent cut on cheek; red brows, hair, red chignon, 2 meifa 美髮 sticks, natural white profile flower deco at ear with four multi-color extensions; natural white ear ring, black mesh extension at back. Lacquered.",See 2 and others.,
object_0001_0,object_0001,DSCN3615.JPG containing object_0001,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",image containing object_0001,,,object_0002;object_0003;object_0004
object_0001_1,object_0001,DSCN3616.JPG containing object_0001,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/400,/0/default.jpg",image containing object_0001,,,object_0002;object_0003;object_0004
object_0002,,Dan head,2,Dan head,h: 3 ¼ x 2 ¼,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",,"Dan head. Dan. Demon. Red painted face, crescent cut on cheek, black brows, hair, black chignon; 2 meifa 美髮 sticks; red profile flower deco at ear with four natural tip extensions; black ear ring; black mesh extension at back. Lacquered.",Note: exact same silhouette as 1.,
object_0002_0,object_0002,DSCN3615.JPG containing object_0002,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",image containing object_0002,,,object_0001;object_0003;object_0004
object_0002_1,object_0002,DSCN3616.JPG containing object_0002,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/400,/0/default.jpg",image containing object_0002,,,object_0001;object_0003;object_0004
object_0003,,Dan head,3,Dan head,h: 3 ¼ x 2 ¼,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",,"Dan head. Dan. Demon. Red painted face, black brows, hair fringe at forehead, black chignon, 2 meifa 美髮 sticks, red to orange profile flower deco at ear; four blue to natural tip extensions; blue ear ring, black mesh extends at back. Lacquered.","Note: silhouette slightly diff from 1 and 2, but same as 4.",
object_0003_0,object_0003,DSCN3615.JPG containing object_0003,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",image containing object_0003,,,object_0001;object_0002;object_0004
object_0003_1,object_0003,DSCN3616.JPG containing object_0003,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/400,/0/default.jpg",image containing object_0003,,,object_0001;object_0002;object_0004
object_0004,,Dan head,4,Dan head,h: 3 ¼ x 2 ½,compound_object,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",,"Dan head. Dan. Demon. Greenish brown painted face, red brows, hair fringe at forehead, red chignon. Green quatrefoil deco at top of head; blue flower deco at ear, black mesh extends forward and back. Lacquered.",Exact same silhouette as 3.,
object_0004_0,object_0004,DSCN3615.JPG containing object_0004,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3615/full/400,/0/default.jpg",image containing object_0004,,,object_0001;object_0002;object_0003
object_0004_1,object_0004,DSCN3616.JPG containing object_0004,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3616/full/400,/0/default.jpg",image containing object_0004,,,object_0001;object_0002;object_0003
object_0005,,Sheng head,5,Sheng head,h: 5 x 3 ½,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/400,/0/default.jpg",,"Sheng head. Lao wu sheng 老武生. Open cut face, long white 3 strand beard, ying luomao 硬羅帽 red hexagonal state minister hat with blue, black deco, large red top knob; large blue ear pompom, rongqiu 絨球, black ciguye 慈菇葉 martial arrow at forehead; short red ribbon at nape. Lacquered.",,
object_0005_0,object_0005,DSCN3617.JPG containing object_0005,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/400,/0/default.jpg",image containing object_0005,,,object_0006
object_0006,,Sheng head,6,Sheng head,,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/400,/0/default.jpg",,"Sheng head. Wu sheng 武生. Open cut face, red hexagonal state minister hat with black deco and numerous small blue pompoms, red top knob; large red ear pompom, black ciguye 慈菇葉 martial arrow tips decorated with 3 red and 2 blue small pompoms; short red ribbon at nape. Lacquered.",,
object_0006_0,object_0006,DSCN3617.JPG containing object_0006,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3617/full/400,/0/default.jpg",image containing object_0006,,,object_0005
object_0007,,Sheng head,7,Sheng head,h: 3 ¼ x 2 ¾,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/400,/0/default.jpg",,"Sheng head. Wu sheng male or possibly female. Cut away face, ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; large red ear pompom; blue ribbon circlet at forehead; small white ear ring; black 慈菇葉 martial arrow. Lacquered.",,
object_0007_0,object_0007,DSCN3618.JPG containing object_0007,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/400,/0/default.jpg",image containing object_0007,,,object_0008;object_0009
object_0008,,Chou head,8,Chou head,h: 3 ¼ x 3 ¼,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/400,/0/default.jpg",,"Chou head. Wu chou 武丑. Open cut face, natural white eye patch, Salvador Dali style moustache and soul patch; white teeth; ying luomao 硬羅帽 blue hexagonal minister hat with natural white edge deco, 3 pairs small red pompoms, blue knob at top; black ciguye 慈菇葉 martial arrow with 3 small red and 2 small blue pompom decos; short red ribbon at nape. Lacquered.",,
object_0008_0,object_0008,DSCN3618.JPG containing object_0008,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/400,/0/default.jpg",image containing object_0008,,,object_0007;object_0009
object_0009,,Jing head,9,Jing head,h: 5 ¼ x 3 ¾,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/400,/0/default.jpg",,"Jing head. Wu jing 武淨. Demon. Painted face; blue, white; black stylized eye; teeth, red stylized brow, long pointed sideburn style beard and moustache attach at ear; blue ying luomao 硬羅帽 hexagonal, minister hat, white, red deco, blue top knob; yellow repeat decos at top edges; red ear pompom; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.",,
object_0009_0,object_0009,DSCN3618.JPG containing object_0009,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3618/full/400,/0/default.jpg",image containing object_0009,,,object_0007;object_0008
object_0010,,Jing head,10,Jing head,H: 3 ½ x 3 ½,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/400,/0/default.jpg",,"Jing head. Wu jing. Demon. Painted face; blue, natural white; black stylized eye; teeth, red stylized brow; Red tufted sideburns into moustache, soul patch; blue ying luomao 硬羅帽 hexagonal minister hat, yellow and peach colored moth decos, many small red pompoms at ends of moth feelers, blue top knob; partial red ear flower; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.",,
object_0010_0,object_0010,DSCN3619.JPG containing object_0010,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/400,/0/default.jpg",image containing object_0010,,,object_0011;object_0012
object_0011,,Jing head,11,Jing head,H: 5 ¼ x 3 ½,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/400,/0/default.jpg",,"Jing head. Jing. Demon. Painted face; black, grey, natural white, red; black stylized eye; teeth; straight 2 strand black beard and stachio; black to grey ear tufts; black ying luomao 硬羅帽 hexagonal minister hat, black knob; black ciguye 慈菇葉 martial arrow with small, white pompom decos; short red neck ribbon. No lacquer.",,
object_0011_0,object_0011,DSCN3619.JPG containing object_0011,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/400,/0/default.jpg",image containing object_0011,,,object_0010;object_0012
object_0012,,Jing head,12,Jing head,H: 5 ¼ x 3 ½,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/400,/0/default.jpg",,"Jing head. Wu jing. Demon. Painted face, ornate, turquoise green, white, black stylized eye; teeth; straight red beard, soul patch and stachio; red to pink ear tufts; turquoise green hexagonal minister hat, white, black accents, 32 small red to pink pompom decos, turquoise green top knob; black ciguye 慈菇葉 martial arrow with small red and turquoise green pompom decos; short red neck ribbon. No lacquer.",,
object_0012_0,object_0012,DSCN3619.JPG containing object_0012,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN3619/full/400,/0/default.jpg",image containing object_0012,,,object_0010;object_0011
object_0013,,Chou head,13,Chou head,H: 3 ¼ x 3 ½,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/400,/0/default.jpg",,"Chou head. Wu chou 武丑. Pink painted face; black brow, cut crescents at jawline; black stylized eye; red smiling lips; grey pate; blue cloth back projecting hat, smalltop knob, red fillet ribbon ties at base of neck; black 慈菇葉 martial arrow. Lacquered. See 32.",No clown patch over eyes could mean this is not a chou but a jing.,
object_0013_0,object_0013,DSCN5555.JPG containing object_0013,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/400,/0/default.jpg",image containing object_0013,,,object_0014;object_0015
object_0014,,Chou head,14,Chou head,H: 4 x 2 ½,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/400,/0/default.jpg",,"Chou head. Chou 丑. Domestic or servant. Natural eye patch covers nose, stylized diamond shape black eye; black lines cross cut away cheek; two strand, sideburns into straight black to grey beard, stachio, soul patch; red lips, teeth. Jia ren jin 家人巾, soft black cloth hat rests forward, black top knob; green fillet; red neck ribbon. No lacquer.","Hat worn in opera, according to Arlington, p. 91, is liubanjin 六瓣巾.",
object_0014_0,object_0014,DSCN5555.JPG containing object_0014,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/400,/0/default.jpg",image containing object_0014,,,object_0013;object_0015
object_0015,,Jing head,15,Jing head,H: 3 x 3,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/400,/0/default.jpg",,"Jing head. Jing. Demon. Painted face turquoise green, red, white; red downward pulled mouth; black stylized eye patch; white close fitting cloth hat, vertical natural white horn-like extensions behind ears; blue fillet, ties at forehead; red ribbon at top of head. Kiss member.",Peeling lacquer.,
object_0015_0,object_0015,DSCN5555.JPG containing object_0015,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5555/full/400,/0/default.jpg",image containing object_0015,,,object_0013;object_0014
object_0016,,Chou head,16,Chou head,H: 3 ½ x 3 ¼,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/400,/0/default.jpg",,"Chou head. Chou. Demon. Flesh face, grey swoosh accents; large natural white eye patch includes nose, black triangle eye; thick black greasepaint style stachio to ear; black to grey ear tufts; black hexagonal minister hat, black top knob; green fillet; short red neck ribbon. Lacquered.",Similar to 17.,
object_0016_0,object_0016,DSCN5556.JPG containing object_0016,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/400,/0/default.jpg",image containing object_0016,,,object_0017;object_0018
object_0017,,Jing head,17,Jing head,H: 3 ½ x 3 ¼,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/400,/0/default.jpg",,"Jing head. Wu. Jing. Demon. Painted flesh face, mournful expression created by eye and stachio. Black swoosh shape eye; thick black greasepaint stachio to ear; black to grey ear tufts; black hexagonal minister hat, black top knob; green fillet; short red neck ribbon. Lacquered.",Similar to 16.,
object_0017_0,object_0017,DSCN5556.JPG containing object_0017,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/400,/0/default.jpg",image containing object_0017,,,object_0016;object_0018
object_0018,,Jing head,18,Jing head,H: 3 ½ x 3 ¼,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/400,/0/default.jpg",,"Jing head. Wu chou. Demon. White, grey, pink blush painted face, mournful expression created by eye and stachio. Black crescent eye; thick black greasepaint stachio to ear; black to grey ear tufts; yellow hexagonal minister hat, blue clouds on each facet, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.",Similar to 19.,
object_0018_0,object_0018,DSCN5556.JPG containing object_0018,,,,image,image/jpg,https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/full/0/default.jpg,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/800,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5556/full/400,/0/default.jpg",image containing object_0018,,,object_0016;object_0017
object_0019,,Chou head,19,Chou head,H: 3 ½ x 3 ¼,item,,,,"https://puliiif-staging.princeton.edu/iiif/2/ealshadowobjects%2FDSCN5557/full/400,/0/default.jpg",,"Chou head. Wu chou. Demon. Flesh painted face, white natural eye patch covers nose. Black triangle stylized eye; thick black greasepaint stachio to ear; black to grey ear tufts; yellow hexagonal minister hat, blue clouds on each facet, black, green accents; yellow, black top knob; white diadem, ezi 額子, green central emblem, large red front pompom; black 慈菇葉 martial arrow; red neck ribbon. No lacquer.",Same helmet as 18.,
