objectid,parentid,title,subject,display_template,format,object_location,image_small,image_thumb,image_alt_text,description,object_thumb,object_location,reference_url
"object_0001","","Dan head","Dan head","compound_object","","","","/objects/thumbs/dscn3615_th.jpg","","Dan head. Dan 旦. Demon. Green painted face, crescent cut on cheek; red brows, hair, red chignon, 2 meifa 美髮 sticks, natural white profile flower deco at ear with four multi-color extensions; natural white ear ring, black mesh extension at back. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","","http://localhost:4000/shadowfigures/items/object_0001.html"
"object_0001_0","object_0001","","","image","image/jpg","/objects/dscn3615.jpg","/objects/small/dscn3615_sm.jpg","/objects/thumbs/dscn3615_th.jpg","image containing object_0001","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3615.jpg","http://localhost:4000/shadowfigures/items/object_0001.html#object_0001_0"
"object_0001_1","object_0001","","","image","image/jpg","/objects/dscn3616.jpg","/objects/small/dscn3616_sm.jpg","/objects/thumbs/dscn3616_th.jpg","image containing object_0001","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3616_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3616.jpg","http://localhost:4000/shadowfigures/items/object_0001.html#object_0001_1"
"object_0002","","Dan head","Dan head","compound_object","","","","/objects/thumbs/dscn3615_th.jpg","","Dan head. Dan. Demon. Red painted face, crescent cut on cheek, black brows, hair, black chignon; 2 meifa 美髮 sticks; red profile flower deco at ear with four natural tip extensions; black ear ring; black mesh extension at back. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","","http://localhost:4000/shadowfigures/items/object_0002.html"
"object_0002_0","object_0002","","","image","image/jpg","/objects/dscn3615.jpg","/objects/small/dscn3615_sm.jpg","/objects/thumbs/dscn3615_th.jpg","image containing object_0002","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3615.jpg","http://localhost:4000/shadowfigures/items/object_0002.html#object_0002_0"
"object_0002_1","object_0002","","","image","image/jpg","/objects/dscn3616.jpg","/objects/small/dscn3616_sm.jpg","/objects/thumbs/dscn3616_th.jpg","image containing object_0002","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3616_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3616.jpg","http://localhost:4000/shadowfigures/items/object_0002.html#object_0002_1"
"object_0003","","Dan head","Dan head","compound_object","","","","/objects/thumbs/dscn3615_th.jpg","","Dan head. Dan. Demon. Red painted face, black brows, hair fringe at forehead, black chignon, 2 meifa 美髮 sticks, red to orange profile flower deco at ear; four blue to natural tip extensions; blue ear ring, black mesh extends at back. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","","http://localhost:4000/shadowfigures/items/object_0003.html"
"object_0003_0","object_0003","","","image","image/jpg","/objects/dscn3615.jpg","/objects/small/dscn3615_sm.jpg","/objects/thumbs/dscn3615_th.jpg","image containing object_0003","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3615.jpg","http://localhost:4000/shadowfigures/items/object_0003.html#object_0003_0"
"object_0003_1","object_0003","","","image","image/jpg","/objects/dscn3616.jpg","/objects/small/dscn3616_sm.jpg","/objects/thumbs/dscn3616_th.jpg","image containing object_0003","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3616_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3616.jpg","http://localhost:4000/shadowfigures/items/object_0003.html#object_0003_1"
"object_0004","","Dan head","Dan head","compound_object","","","","/objects/thumbs/dscn3615_th.jpg","","Dan head. Dan. Demon. Greenish brown painted face, red brows, hair fringe at forehead, red chignon. Green quatrefoil deco at top of head; blue flower deco at ear, black mesh extends forward and back. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","","http://localhost:4000/shadowfigures/items/object_0004.html"
"object_0004_0","object_0004","","","image","image/jpg","/objects/dscn3615.jpg","/objects/small/dscn3615_sm.jpg","/objects/thumbs/dscn3615_th.jpg","image containing object_0004","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3615_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3615.jpg","http://localhost:4000/shadowfigures/items/object_0004.html#object_0004_0"
"object_0004_1","object_0004","","","image","image/jpg","/objects/dscn3616.jpg","/objects/small/dscn3616_sm.jpg","/objects/thumbs/dscn3616_th.jpg","image containing object_0004","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3616_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3616.jpg","http://localhost:4000/shadowfigures/items/object_0004.html#object_0004_1"
"object_0005","","Sheng head","Sheng head","compound_object","","","","/objects/thumbs/dscn3617_th.jpg","","Sheng head. Lao wu sheng 老武生. Open cut face, long white 3 strand beard, ying luomao 硬羅帽 red hexagonal state minister hat with blue, black deco, large red top knob; large blue ear pompom, rongqiu 絨球, black ciguye 慈菇葉 martial arrow at forehead; short red ribbon at nape. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3617_th.jpg","","http://localhost:4000/shadowfigures/items/object_0005.html"
"object_0005_0","object_0005","","","image","image/jpg","/objects/dscn3617.jpg","/objects/small/dscn3617_sm.jpg","/objects/thumbs/dscn3617_th.jpg","image containing object_0005","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3617_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3617.jpg","http://localhost:4000/shadowfigures/items/object_0005.html#object_0005_0"
"object_0006","","Sheng head","Sheng head","compound_object","","","","/objects/thumbs/dscn3617_th.jpg","","Sheng head. Wu sheng 武生. Open cut face, red hexagonal state minister hat with black deco and numerous small blue pompoms, red top knob; large red ear pompom, black ciguye 慈菇葉 martial arrow tips decorated with 3 red and 2 blue small pompoms; short red ribbon at nape. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3617_th.jpg","","http://localhost:4000/shadowfigures/items/object_0006.html"
"object_0006_0","object_0006","","","image","image/jpg","/objects/dscn3617.jpg","/objects/small/dscn3617_sm.jpg","/objects/thumbs/dscn3617_th.jpg","image containing object_0006","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3617_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3617.jpg","http://localhost:4000/shadowfigures/items/object_0006.html#object_0006_0"
"object_0007","","Sheng head","Sheng head","compound_object","","","","/objects/thumbs/dscn3618_th.jpg","","Sheng head. Wu sheng male or possibly female. Cut away face, ruan luomao 軟羅帽 soft black cloth hat forms hexa swirl at side of head; large red ear pompom; blue ribbon circlet at forehead; small white ear ring; black 慈菇葉 martial arrow. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3618_th.jpg","","http://localhost:4000/shadowfigures/items/object_0007.html"
"object_0007_0","object_0007","","","image","image/jpg","/objects/dscn3618.jpg","/objects/small/dscn3618_sm.jpg","/objects/thumbs/dscn3618_th.jpg","image containing object_0007","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3618_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3618.jpg","http://localhost:4000/shadowfigures/items/object_0007.html#object_0007_0"
"object_0008","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn3618_th.jpg","","Chou head. Wu chou 武丑. Open cut face, natural white eye patch, Salvador Dali style moustache and soul patch; white teeth; ying luomao 硬羅帽 blue hexagonal minister hat with natural white edge deco, 3 pairs small red pompoms, blue knob at top; black ciguye 慈菇葉 martial arrow with 3 small red and 2 small blue pompom decos; short red ribbon at nape. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3618_th.jpg","","http://localhost:4000/shadowfigures/items/object_0008.html"
"object_0008_0","object_0008","","","image","image/jpg","/objects/dscn3618.jpg","/objects/small/dscn3618_sm.jpg","/objects/thumbs/dscn3618_th.jpg","image containing object_0008","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3618_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3618.jpg","http://localhost:4000/shadowfigures/items/object_0008.html#object_0008_0"
"object_0009","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn3618_th.jpg","","Jing head. Wu jing 武淨. Demon. Painted face; blue, white; black stylized eye; teeth, red stylized brow, long pointed sideburn style beard and moustache attach at ear; blue ying luomao 硬羅帽 hexagonal, minister hat, white, red deco, blue top knob; yellow repeat decos at top edges; red ear pompom; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3618_th.jpg","","http://localhost:4000/shadowfigures/items/object_0009.html"
"object_0009_0","object_0009","","","image","image/jpg","/objects/dscn3618.jpg","/objects/small/dscn3618_sm.jpg","/objects/thumbs/dscn3618_th.jpg","image containing object_0009","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3618_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3618.jpg","http://localhost:4000/shadowfigures/items/object_0009.html#object_0009_0"
"object_0010","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn3619_th.jpg","","Jing head. Wu jing. Demon. Painted face; blue, natural white; black stylized eye; teeth, red stylized brow; Red tufted sideburns into moustache, soul patch; blue ying luomao 硬羅帽 hexagonal minister hat, yellow and peach colored moth decos, many small red pompoms at ends of moth feelers, blue top knob; partial red ear flower; black ciguye 慈菇葉 martial arrow; red neck ribbon. Kiss band member. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3619_th.jpg","","http://localhost:4000/shadowfigures/items/object_0010.html"
"object_0010_0","object_0010","","","image","image/jpg","/objects/dscn3619.jpg","/objects/small/dscn3619_sm.jpg","/objects/thumbs/dscn3619_th.jpg","image containing object_0010","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3619_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3619.jpg","http://localhost:4000/shadowfigures/items/object_0010.html#object_0010_0"
"object_0011","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn3619_th.jpg","","Jing head. Jing. Demon. Painted face; black, grey, natural white, red; black stylized eye; teeth; straight 2 strand black beard and stachio; black to grey ear tufts; black ying luomao 硬羅帽 hexagonal minister hat, black knob; black ciguye 慈菇葉 martial arrow with small, white pompom decos; short red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3619_th.jpg","","http://localhost:4000/shadowfigures/items/object_0011.html"
"object_0011_0","object_0011","","","image","image/jpg","/objects/dscn3619.jpg","/objects/small/dscn3619_sm.jpg","/objects/thumbs/dscn3619_th.jpg","image containing object_0011","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3619_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3619.jpg","http://localhost:4000/shadowfigures/items/object_0011.html#object_0011_0"
"object_0012","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn3619_th.jpg","","Jing head. Wu jing. Demon. Painted face, ornate, turquoise green, white, black stylized eye; teeth; straight red beard, soul patch and stachio; red to pink ear tufts; turquoise green hexagonal minister hat, white, black accents, 32 small red to pink pompom decos, turquoise green top knob; black ciguye 慈菇葉 martial arrow with small red and turquoise green pompom decos; short red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn3619_th.jpg","","http://localhost:4000/shadowfigures/items/object_0012.html"
"object_0012_0","object_0012","","","image","image/jpg","/objects/dscn3619.jpg","/objects/small/dscn3619_sm.jpg","/objects/thumbs/dscn3619_th.jpg","image containing object_0012","","http://localhost:4000/shadowfigures/objects/thumbs/dscn3619_th.jpg","http://localhost:4000/shadowfigures/objects/dscn3619.jpg","http://localhost:4000/shadowfigures/items/object_0012.html#object_0012_0"
"object_0013","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5555_th.jpg","","Chou head. Wu chou 武丑. Pink painted face; black brow, cut crescents at jawline; black stylized eye; red smiling lips; grey pate; blue cloth back projecting hat, smalltop knob, red fillet ribbon ties at base of neck; black 慈菇葉 martial arrow. Lacquered. See 32.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5555_th.jpg","","http://localhost:4000/shadowfigures/items/object_0013.html"
"object_0013_0","object_0013","","","image","image/jpg","/objects/dscn5555.jpg","/objects/small/dscn5555_sm.jpg","/objects/thumbs/dscn5555_th.jpg","image containing object_0013","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5555_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5555.jpg","http://localhost:4000/shadowfigures/items/object_0013.html#object_0013_0"
"object_0014","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5555_th.jpg","","Chou head. Chou 丑. Domestic or servant. Natural eye patch covers nose, stylized diamond shape black eye; black lines cross cut away cheek; two strand, sideburns into straight black to grey beard, stachio, soul patch; red lips, teeth. Jia ren jin 家人巾, soft black cloth hat rests forward, black top knob; green fillet; red neck ribbon. No lacquer.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5555_th.jpg","","http://localhost:4000/shadowfigures/items/object_0014.html"
"object_0014_0","object_0014","","","image","image/jpg","/objects/dscn5555.jpg","/objects/small/dscn5555_sm.jpg","/objects/thumbs/dscn5555_th.jpg","image containing object_0014","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5555_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5555.jpg","http://localhost:4000/shadowfigures/items/object_0014.html#object_0014_0"
"object_0015","","Jing head","Jing head","compound_object","","","","/objects/thumbs/dscn5555_th.jpg","","Jing head. Jing. Demon. Painted face turquoise green, red, white; red downward pulled mouth; black stylized eye patch; white close fitting cloth hat, vertical natural white horn-like extensions behind ears; blue fillet, ties at forehead; red ribbon at top of head. Kiss member.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5555_th.jpg","","http://localhost:4000/shadowfigures/items/object_0015.html"
"object_0015_0","object_0015","","","image","image/jpg","/objects/dscn5555.jpg","/objects/small/dscn5555_sm.jpg","/objects/thumbs/dscn5555_th.jpg","image containing object_0015","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5555_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5555.jpg","http://localhost:4000/shadowfigures/items/object_0015.html#object_0015_0"
"object_0016","","Chou head","Chou head","compound_object","","","","/objects/thumbs/dscn5556_th.jpg","","Chou head. Chou. Demon. Flesh face, grey swoosh accents; large natural white eye patch includes nose, black triangle eye; thick black greasepaint style stachio to ear; black to grey ear tufts; black hexagonal minister hat, black top knob; green fillet; short red neck ribbon. Lacquered.","http://localhost:4000/shadowfigures/objects/thumbs/dscn5556_th.jpg","","http://localhost:4000/shadowfigures/items/object_0016.html"
"object_0016_0","object_0016","","","image","image/jpg","/objects/dscn5556.jpg","/objects/small/dscn5556_sm.jpg","/objects/thumbs/dscn5556_th.jpg","image containing object_0016","","http://localhost:4000/shadowfigures/objects/thumbs/dscn5556_th.jpg","http://localhost:4000/shadowfigures/objects/dscn5556.jpg","http://localhost:4000/shadowfigures/items/object_0016.html#object_0016_0"
